START_TIME;elix;domestic;constant;Source
21/05/2013 00:00;49.68;0.85;1;69.68
21/05/2013 00:30;49.68;0.85;1;69.68
21/05/2013 01:00;49.68;0.47;1;70.42
21/05/2013 01:30;49.68;0.47;1;70.42
21/05/2013 02:00;49.68;0.47;1;70.42
21/05/2013 02:30;49.68;0.47;1;70.42
21/05/2013 03:00;49.68;0.4;1;70.37
21/05/2013 03:30;49.68;0.4;1;70.37
21/05/2013 04:00;49.68;0.4;1;70.33
21/05/2013 04:30;49.68;0.4;1;70.33
21/05/2013 05:00;49.68;0.46;1;70.33
21/05/2013 05:30;49.68;0.46;1;70.33
21/05/2013 06:00;40.77;0.46;1;70.33
21/05/2013 06:30;40.77;0.46;1;70.33
21/05/2013 07:00;40.77;1.35;1;70.33
21/05/2013 07:30;40.77;1.35;1;70.33
21/05/2013 08:00;40.77;1.35;1;70.33
21/05/2013 08:30;40.77;1.35;1;70.33
21/05/2013 09:00;60.96;1.45;1;69.42
21/05/2013 09:30;60.96;1.45;1;69.42
21/05/2013 10:00;60.96;1.45;1;69.42
21/05/2013 10:30;60.96;1.45;1;69.42
21/05/2013 11:00;67.51;1.1;1;70.33
21/05/2013 11:30;67.51;1.1;1;70.33
21/05/2013 12:00;67.51;1.1;1;70.33
21/05/2013 12:30;67.51;1.1;1;70.33
21/05/2013 13:00;67.45;1.02;1;70.33
21/05/2013 13:30;67.45;1.02;1;70.33
21/05/2013 14:00;67.45;1.02;1;70.33
21/05/2013 14:30;67.45;1.02;1;70.33
21/05/2013 15:00;64;0.94;1;70.33
21/05/2013 15:30;64;0.94;1;70.33
21/05/2013 16:00;64;0.94;1;70.33
21/05/2013 16:30;64;0.94;1;70.33
21/05/2013 17:00;67.39;1.25;1;70.29
21/05/2013 17:30;67.39;1.25;1;70.29
21/05/2013 18:00;67.39;1.25;1;70.29
21/05/2013 18:30;67.39;1.25;1;70.29
21/05/2013 19:00;60.88;1.38;1;70.33
21/05/2013 19:30;60.88;1.38;1;70.33
21/05/2013 20:00;60.88;1.38;1;70.33
21/05/2013 20:30;60.88;1.38;1;70.33
21/05/2013 21:00;63.81;1.22;1;70.42
21/05/2013 21:30;63.81;1.22;1;70.42
21/05/2013 22:00;63.81;1.22;1;70.42
21/05/2013 22:30;63.81;1.22;1;70.42
21/05/2013 23:00;54.6;0.85;1;69.64
21/05/2013 23:30;54.6;0.85;1;69.64
22/05/2013 00:00;54.6;0.85;1;69.64
22/05/2013 00:30;54.6;0.85;1;69.64
22/05/2013 01:00;40.77;0.47;1;69.68
