START_TIME;elix;domestic;constant;Source
21/05/2013 00:00;49.68;0.62;1.0;69.68
21/05/2013 00:30;49.68;0.62;1.0;69.68
21/05/2013 01:00;49.68;0.62;1.0;69.68
21/05/2013 01:30;49.68;0.62;1.0;69.68
21/05/2013 02:00;49.68;0.67;1.0;70.42
21/05/2013 02:30;49.68;0.67;1.0;70.42
21/05/2013 03:00;49.68;0.76;1.0;70.37
21/05/2013 03:30;49.68;0.76;1.0;70.37
21/05/2013 04:00;49.68;0.91;1.0;70.33
21/05/2013 04:30;49.68;0.91;1.0;70.33
21/05/2013 05:00;49.68;1.1;1.0;70.33
21/05/2013 05:30;49.68;1.1;1.0;70.33
21/05/2013 06:00;40.77;1.48;1.0;70.33
21/05/2013 06:30;40.77;1.48;1.0;70.33
21/05/2013 07:00;40.77;1.71;1.0;70.33
21/05/2013 07:30;58.62;1.71;1.0;70.33
21/05/2013 08:00;58.62;1.48;1.0;69.55
21/05/2013 08:30;61.0;1.48;1.0;69.55
21/05/2013 09:00;60.96;1.02;1.0;69.42
21/05/2013 09:30;63.16;1.02;1.0;69.42
21/05/2013 10:00;66.27;0.73;1.0;69.42
21/05/2013 10:30;66.89;0.73;1.0;69.42
21/05/2013 11:00;67.51;0.55;1.0;70.33
21/05/2013 11:30;67.5;0.55;1.0;70.33
21/05/2013 12:00;67.48;0.49;1.0;70.33
21/05/2013 12:30;67.47;0.49;1.0;70.33
21/05/2013 13:00;67.45;0.55;1.0;70.33
21/05/2013 13:30;65.06;0.55;1.0;70.33
21/05/2013 14:00;63.18;0.73;1.0;70.33
21/05/2013 14:30;64.16;0.73;1.0;70.33
21/05/2013 15:00;64.0;1.02;1.0;70.33
21/05/2013 15:30;66.18;1.02;1.0;70.33
21/05/2013 16:00;67.38;1.36;1.0;70.33
21/05/2013 16:30;67.39;1.36;1.0;70.33
21/05/2013 17:00;67.39;1.53;1.0;70.29
21/05/2013 17:30;67.41;1.53;1.0;70.29
21/05/2013 18:00;67.42;1.53;1.0;70.29
21/05/2013 18:30;63.18;1.53;1.0;70.29
21/05/2013 19:00;60.88;1.36;1.0;70.33
21/05/2013 19:30;65.81;1.36;1.0;70.33
21/05/2013 20:00;64.12;1.1;1.0;70.42
21/05/2013 20:30;62.3;1.1;1.0;70.42
21/05/2013 21:00;63.81;0.91;1.0;70.42
21/05/2013 21:30;61.82;0.91;1.0;70.42
21/05/2013 22:00;60.12;0.76;1.0;70.37
21/05/2013 22:30;57.69;0.76;1.0;70.37
21/05/2013 23:00;54.6;0.67;1.0;69.64
21/05/2013 23:30;40.77;0.67;1.0;69.64
22/05/2013 00:00;40.77;0.62;1.0;69.68
22/05/2013 00:30;40.77;0.62;1.0;69.68
22/05/2013 01:00;40.77;0.62;1.0;69.68
22/05/2013 01:30;40.77;0.62;1.0;69.68
22/05/2013 02:00;40.77;0.67;1.0;70.42
22/05/2013 02:30;40.77;0.67;1.0;70.42
22/05/2013 03:00;40.77;0.76;1.0;70.37
22/05/2013 03:30;40.77;0.76;1.0;70.37
22/05/2013 04:00;40.77;0.91;1.0;70.33
22/05/2013 04:30;40.77;0.91;1.0;70.33
22/05/2013 05:00;40.77;1.1;1.0;70.33
22/05/2013 05:30;40.77;1.1;1.0;70.33
22/05/2013 06:00;46.43;1.48;1.0;70.33
22/05/2013 06:30;46.43;1.48;1.0;70.33
22/05/2013 07:00;62.03;1.71;1.0;70.33
22/05/2013 07:30;62.03;1.71;1.0;70.33
22/05/2013 08:00;62.85;1.48;1.0;69.55
22/05/2013 08:30;63.13;1.48;1.0;69.55
22/05/2013 09:00;67.33;1.02;1.0;69.42
22/05/2013 09:30;70.87;1.02;1.0;69.42
22/05/2013 10:00;73.88;0.73;1.0;69.42
22/05/2013 10:30;74.63;0.73;1.0;69.42
22/05/2013 11:00;73.85;0.55;1.0;70.33
22/05/2013 11:30;75.58;0.55;1.0;70.33
22/05/2013 12:00;73.26;0.49;1.0;70.33
22/05/2013 12:30;70.17;0.49;1.0;70.33
22/05/2013 13:00;65.88;0.55;1.0;70.33
22/05/2013 13:30;76.56;0.55;1.0;70.33
22/05/2013 14:00;70.93;0.73;1.0;70.33
22/05/2013 14:30;73.27;0.73;1.0;70.33
22/05/2013 15:00;77.96;1.02;1.0;70.33
22/05/2013 15:30;69.75;1.02;1.0;70.33
22/05/2013 16:00;78.48;1.36;1.0;70.33
22/05/2013 16:30;78.48;1.36;1.0;70.33
22/05/2013 17:00;78.48;1.53;1.0;70.29
22/05/2013 17:30;78.48;1.53;1.0;70.29
22/05/2013 18:00;64.93;1.53;1.0;70.29
22/05/2013 18:30;62.85;1.53;1.0;70.29
22/05/2013 19:00;62.03;1.36;1.0;70.33
22/05/2013 19:30;62.03;1.36;1.0;70.33
22/05/2013 20:00;62.03;1.1;1.0;70.42
22/05/2013 20:30;46.43;1.1;1.0;70.42
22/05/2013 21:00;46.43;0.91;1.0;70.42
22/05/2013 21:30;48.61;0.91;1.0;70.42
22/05/2013 22:00;62.03;0.76;1.0;70.37
22/05/2013 22:30;44.31;0.76;1.0;70.37
22/05/2013 23:00;44.31;0.67;1.0;69.64
22/05/2013 23:30;44.02;0.67;1.0;69.64
23/05/2013 00:00;44.02;0.62;1.0;69.68
23/05/2013 00:30;44.02;0.62;1.0;69.68
23/05/2013 01:00;44.02;0.62;1.0;69.68
23/05/2013 01:30;44.02;0.62;1.0;69.68
23/05/2013 02:00;44.02;0.67;1.0;70.42
23/05/2013 02:30;44.02;0.67;1.0;70.42
23/05/2013 03:00;44.02;0.76;1.0;70.37
23/05/2013 03:30;40.23;0.76;1.0;70.37
23/05/2013 04:00;40.23;0.91;1.0;70.33
23/05/2013 04:30;40.23;0.91;1.0;70.33
23/05/2013 05:00;44.02;1.1;1.0;70.33
23/05/2013 05:30;44.02;1.1;1.0;70.33
23/05/2013 06:00;55.72;1.48;1.0;70.33
23/05/2013 06:30;53.85;1.48;1.0;70.33
23/05/2013 07:00;55.72;1.71;1.0;70.33
23/05/2013 07:30;72.13;1.71;1.0;70.33
23/05/2013 08:00;55.72;1.48;1.0;69.55
23/05/2013 08:30;72.13;1.48;1.0;69.55
23/05/2013 09:00;72.13;1.02;1.0;69.42
23/05/2013 09:30;72.13;1.02;1.0;69.42
23/05/2013 10:00;72.13;0.73;1.0;69.42
23/05/2013 10:30;72.13;0.73;1.0;69.42
23/05/2013 11:00;72.13;0.55;1.0;70.33
